handle,sku,name,description,category,spaces,mrp,d2cPrice,b2bPrice,stockQuantity,weight_kg,length_cm,breadth_cm,height_cm,actualHeight_in,actualWidth_in,actualDepth_in,isLed,gstRate,hsnCode,bisCertification,materialAndFinish,bulbType,style,images,variant_name,variant_sku,variant_mrp,variant_d2cPrice,variant_stock
industrial-barn-pendant-j401,J401,Industrial Barn Pendant Light,"A classic barn-style pendant in a bold matte black finish. The wide dome shade (20cm diameter, 30cm drop) delivers broad downward illumination, making it ideal for kitchen islands, workshops, or café counters. Interior of the shade reflects warm light efficiently. Suspended on a black metal rod with a flush ceiling canopy for a clean industrial look.",Hanging Lamp,Dining Estate;Executive Lounge,1800,1100,880,15,1.2,25,25,35,11.8,7.9,7.9,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Industrial, farmhouse, rustic",,,,,,
bell-pendant-j403,J403,Bell-Shaped Pendant Light,"An elegant bell-shaped pendant with a deep, tulip-like curve and a satin matte black exterior. The compact 22cm x 20cm silhouette suits intimate dining areas or hallway accent points. The smooth, uninterrupted surface and gold-toned interior lining create a warm, focused glow that adds drama without bulk.",Hanging Lamp,Dining Estate;Master Suite,1600,950,760,15,1.0,27,27,25,7.9,8.7,8.7,FALSE,18,94054090,IS 10322,"Metal, matte black with gold interior",E27 LED,"Contemporary, modern industrial",,,,,,
conical-pendant-j404,J404,Conical Pendant Light,"A sleek, tapered cone pendant (24cm x 30cm) in a striking matte black finish. The slender silhouette and angular form make it a natural fit for minimalist or Scandinavian interiors. Suspended on a black wire from a ceiling canopy, it delivers a direct downward beam perfect for dining tables or task areas.",Hanging Lamp,Dining Estate;Executive Lounge,1700,1050,840,15,1.1,28,28,35,11.8,9.4,9.4,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Minimalist, Scandinavian, modern",,,,,,
saucer-flare-pendant-j405,J405,Saucer Flare Pendant Light,"A distinctive flared-saucer pendant (15cm x 21cm) with a matte black top and a warm gold-painted interior. The wide flared lip casts a dramatic halo of reflected light beneath, creating a moody, café-inspired ambience. Compact form suits low ceilings and intimate spaces.",Hanging Lamp,Dining Estate;Boutique Hotel,1500,900,720,15,0.9,20,20,25,8.3,5.9,5.9,FALSE,18,94054090,IS 10322,"Metal, matte black with gold interior",E27 LED,"Industrial, café, eclectic",,,,,,
dome-bell-pendant-j406,J406,Dome Bell Pendant Light,"A smooth, dome-bell pendant (20cm x 17cm) in a deep matte black exterior with a contrasting copper-gold interior. Its compact upright form suits clustered multi-pendant arrangements or as a standalone accent over a bedside or console. The interior finish warms the emitted light beautifully.",Hanging Lamp,Master Suite;Boutique Hotel,1400,850,680,15,0.8,25,25,22,6.7,7.9,7.9,FALSE,18,94054090,IS 10322,"Metal, matte black with copper-gold interior",E27 LED,"Modern industrial, boutique, eclectic",,,,,,
ribbed-dome-pendant-j411,J411,Ribbed Dome Pendant Light,"A sculptural ribbed dome pendant (16cm x 27cm) in a deep green-black matte finish. Horizontal ribbing across the surface adds tactile depth and visual interest, making this piece equally at home in artisan cafés and luxury residential dining rooms. The elongated drop wire creates a bold vertical statement.",Hanging Lamp,Dining Estate;Executive Lounge,1800,1100,880,15,1.0,22,22,32,10.6,6.3,6.3,FALSE,18,94054090,IS 10322,"Metal, deep green-black matte with ribbed texture",E27 LED,"Industrial artisan, contemporary",,,,,,
ribbed-disc-pendant-j410,J410,Ribbed Disc Pendant Light,"A low-profile dome pendant (12cm x 23cm) with a matte black finish and subtle ribbed texture along the rim. Its broad, flat silhouette evokes vintage factory lighting, well-suited for over-counter or island installations. Suspended on a slim black wire for an understated look.",Hanging Lamp,Dining Estate;Grand Foyer,1500,900,720,15,0.9,18,18,28,9.1,4.7,4.7,FALSE,18,94054090,IS 10322,"Metal, matte black with ribbed rim",E27 LED,"Industrial, farmhouse, vintage",,,,,,
dome-bowl-pendant-j409,J409,Dome Bowl Pendant Light,"A generous bowl-dome pendant (20cm x 18cm) in matte black with a warm copper-gold interior lining. The classic hemispherical shape provides wide ambient light distribution, ideal for kitchen islands or dining tables. Sleek wire suspension maintains a modern, clutter-free look.",Hanging Lamp,Dining Estate;Boutique Hotel,1600,1000,800,15,1.0,25,25,23,7.1,7.9,7.9,FALSE,18,94054090,IS 10322,"Metal, matte black with copper-gold interior",E27 LED,"Industrial, modern farmhouse",,,,,,
layered-ribbed-pendant-j412,J412,Layered Ribbed Pendant Light,"A striking tiered-ribbed pendant (13cm x 25cm) in matte black with multiple concentric horizontal bands that catch and diffuse light. The layered effect gives it a graphic, architectural presence. Excellent as an accent pendant in entryways or above a reading nook.",Hanging Lamp,Grand Foyer;Master Suite,1700,1050,840,15,1.0,18,18,30,9.8,5.1,5.1,FALSE,18,94054090,IS 10322,"Metal, matte black with layered ribbing",E27 LED,"Industrial, architectural, contemporary",,,,,,
cluster-3-pendant-j413,J413,3-Light Cluster Pendant Set,"A dramatic 3-pendant cluster set suspended from a single 38cm plate (individual shades 15cm x 16cm). Each shade is a compact dome in matte black, hanging at staggered heights for a dynamic, layered look. Ideal for dining rooms with double-height ceilings or open-plan living areas. The wide ceiling plate accommodates all three drop cables.",Hanging Lamp,Dining Estate;Grand Foyer,4500,2800,2240,10,2.5,42,42,20,6.3,5.9,5.9,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED (x3),"Industrial cluster, contemporary",,,,,,
cluster-2-conical-pendant-j414,J414,2-Light Conical Cluster Pendant,"A twin conical pendant cluster mounted on a 30cm ceiling plate (individual shades 18cm x 9cm). Two slender cone shades hang at varying lengths, creating a sculptural, modern composition. The matte black cones contrast beautifully against white or concrete ceilings.",Hanging Lamp,Dining Estate;Executive Lounge,3200,2000,1600,10,1.8,35,35,14,3.5,7.1,7.1,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED (x2),"Modern industrial, minimalist",,,,,,
bare-bulb-holder-j415,J415,Bare Bulb Pendant Holder,"A minimalist bare-bulb pendant holder (8cm x 6cm) with a matte black ceiling rose and braided wire, designed to let the bulb take centre stage. Ideal for Edison or globe-style filament bulbs that serve as décor in their own right. Simple, versatile, and infinitely stackable.",Hanging Lamp,Boutique Hotel;Dining Estate,600,380,304,20,0.3,12,12,8,2.4,3.1,3.1,FALSE,18,94054090,IS 10322,"Metal, matte black",E27 Edison/Globe bulb,"Industrial, minimalist, loft",,,,,,
